"Search Keyword","Users","Sessions","Searches"
"exception equests.exceptions.httperror: 429 client error: too many requests for url: https://centralus.azuredatabricks.net/api/2.0/jobs/list",2,2,"3"
"export data from databricks aws",1,1,"3"
"export query data into csv",3,3,"3"
"extension failure",1,1,"3"
"failed to connect azure sql server using activedirectoryintegrated in databricks",1,2,"3"
"failed to open delta live tables pipeline page-genie",1,3,"3"
"failure to launch dlt cluster",1,1,"3"
"failure to write to cosmos db",1,3,"3"
"file read from container is taking very long time",1,3,"3"
"filealreadyexistsexception: operation failed: ""the specified path, or an element of the path, exists and its resource type is invalid for this operation."", 409",2,2,"3"
"files in repos",2,2,"3"
"filter data while fetching from parquet file",1,1,"3"
"filters",1,1,"3"
"ganglia historical metrics snapshots issue",1,2,"3"
"geni access request",2,3,"3"
"genie 2205120030000229",1,3,"3"
"genie 2205210030000305",1,2,"3"
"genie for #2203300050000291",3,3,"3"
"genie for #2204110030001092",3,3,"3"
"genie for #2205160050001223",3,3,"3"
"genie request",1,3,"3"
"genie-2204220060001229",1,3,"3"
"genie-2205310030000459",1,3,"3"
"genie: capital group || 2205060040005682 || when upgrading from 8.3 to 9 lts or 10.4 lts we are seeing job run increase",1,1,"3"
"genie:arr:data is getting copied even after the failure of notebook and when the notebook is trying it's getting duplicated",1,1,"3"
"getting started",1,1,"3"
"ggplot size",1,1,"3"
"gpu cluster",1,1,"3"
"gpu usage",2,2,"3"
"how do you change runtime",1,1,"3"
"how to access cluster stats outside of databricks?",1,1,"3"
"how to configure aws machine images to cluster",1,3,"3"
"how to make s3 data available through databases and tables",1,1,"3"
"how to use display the output",1,1,"3"
"import dbc",3,3,"3"
"ingest data into delta lake",1,1,"3"
"install",2,2,"3"
"intelligent assistant",1,1,"3"
"interval",1,1,"3"
"invalid_parameter_value",1,1,"3"
"job aborted",3,3,"3"
"job cluster execution ends up in crash",1,3,"3"
"job clusters",2,2,"3"
"job execution issue",3,3,"3"
"job failed with oom",1,1,"3"
"job failing due to cloudproviderfailure",2,2,"3"
"job fails with atypical errors message",2,2,"3"
"job performance",1,2,"3"
"jobs are failing in adf with modulenotfounderror: no module named 'bcutils'",1,3,"3"
"jobs failing and cluster is being terminated",3,3,"3"
"keyword search",2,2,"3"
"kubernetes engine",1,1,"3"
"library",3,3,"3"
"library issue",2,3,"3"
"login issue",3,3,"3"
"logo",3,3,"3"
"long runtime durations",1,3,"3"
"master",1,1,"3"
"mounting databricks dbfs mount points in storage accounts",1,2,"3"
"need to identify the rootcause of the 'out of memory error', added garbagecollection to notebook but still receiving out of memory error",1,1,"3"
"neo4j",1,1,"3"
"not able to connect to adls with external hms",3,3,"3"
"not able to mount storage account",3,3,"3"
"not able to start cluster server",1,3,"3"
"not able to write to container using pyspark.write method",3,3,"3"
"notebook command shows 'running command' but nothing seems to be happening",2,3,"3"
"notebook template",1,1,"3"
"notebooks are taking more time to complete than average time",1,3,"3"
"office hours",2,2,"3"
"on some occasions the count file is having more numbers than the data file",1,3,"3"
"partner academy",3,3,"3"
"personal access tokens",3,3,"3"
"pip install",2,2,"3"
"pipelines are failing with an error",1,3,"3"
"prefix",1,1,"3"
"prepend",1,1,"3"
"primary key",2,2,"3"
"pyspark udf in spark sql",1,1,"3"
"python",2,2,"3"
"query history",1,1,"3"
"random issue running a query in databricks",1,3,"3"
"read table in sql",1,1,"3"
"recover databricks workspace",1,1,"3"
"redshift",3,3,"3"
"repl issue while running multiple streaming job",1,2,"3"
"request_limit_exceeded",1,1,"3"
"s3",3,3,"3"
"scim api*",2,2,"3"
"share notebook",2,2,"3"
"shortcut keys",2,2,"3"
"sku not available",1,1,"3"
"sla",2,2,"3"
"slack",3,3,"3"
"spark job failure",2,2,"3"
"sql access",2,3,"3"
"start cluster",1,2,"3"
"streaming job crashing with bootstrap url not defined",2,2,"3"
"streamingqueryexception",2,3,"3"
"streamingqueryexception: next on empty iterator",1,1,"3"
"string",1,2,"3"
"termination workspace deletion",1,1,"3"
"training",2,2,"3"
"unable to start cluster",3,3,"3"
"unexpected failure while waiting for the cluster",3,3,"3"
"unsubscribe",2,2,"3"
"upgrade",1,1,"3"
"user usage",1,1,"3"
"username",3,3,"3"
"vaccum",1,2,"3"
"vaccume",1,2,"3"
"vulnerability",3,3,"3"
"whitelist",3,3,"3"
"workload",1,1,"3"
"workspace access | 2205170050002219",1,3,"3"
"workspcaes　50",1,1,"3"
"you do not have access to any running clusters",1,1,"3"
"""""""""""""""""""""""""</><script>alert(1)</script>",1,1,"2"
"""><img src=x onerror=alert(1)>",1,1,"2"
"""\/><img%20s+src+c=x%20on+onerror+%20=""alert(1)""\>",1,1,"2"
"""account owner""",1,1,"2"
"""driver is up but is not responsive, likely due to gc""",1,1,"2"
"""modulenotfounderror""",1,1,"2"
"""secret key""",1,1,"2"
"'/databricks/driver'",1,2,"2"
"/dbfs/mnt/",2,2,"2"
"0457genie",2,2,"2"
"10.4",2,2,"2"
"2112100050001306 genie",1,2,"2"
"2203090050000696 - genie",1,2,"2"
"2203160050001572-genie acess",2,2,"2"
"2203210050001428 || genie access request",1,2,"2"
"2203290040006483 - genie - att",1,1,"2"
"2203310040004917-genie acess",2,2,"2"
"2204110050001767 - genie",1,2,"2"
"2204130040009267 | cluster startup",1,1,"2"
"2204140050001360 | job failure",1,1,"2"
"2204150030000217 genie",1,1,"2"
"2204180040002686 |  myfedex | arr",1,2,"2"
"2204200060001175_need genie access",1,1,"2"
"2205030050001600 genie",1,2,"2"
"2205050050001457 - genie",1,2,"2"
"2205090030000751002-need genie access",1,2,"2"
"2205110030000282 |ihs markit|genie",1,2,"2"
"2205120050000506 genie",1,1,"2"
"2205130030000496 genie",1,2,"2"
"2205130050001633 genie",1,1,"2"
"2205170050002982 || genie access request",1,2,"2"
"2205190030000748_need genie access",1,1,"2"
"2205200030000894 genie",1,2,"2"
"2205200050001146 genie",1,2,"2"
"2206020050001171 - genie",1,1,"2"
"2206020060002128-need genie access",1,2,"2"
"2206060030000742 genie",1,2,"2"
"2206080040001140 informatica jobs running on databricks cluster are failing",1,2,"2"
"2206090030000667 genie",1,1,"2"
"2206170010003168-need genie access",1,1,"2"
"2206210050002120-genie acess",2,2,"2"
"2206220040001462 || genie access request",1,1,"2"
"2754134964726624 - 81b4ec93-f52f-4194-9ad9-57e636bcd0b6 - 2204110040003935",1,2,"2"
"4681 - arr - american airlines - cluster getting bogged by gc",2,2,"2"
"5003f00000kshejaar",1,1,"2"
"5973528252384649 - 32bb04e7-7fcc-4a12-a9e7-9f557768d7a2 - 2206020040008455",1,2,"2"
"958145594491036 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2205190040004859",2,2,"2"
"<? echo('<scr)'; echo('ipt>alert(""xss"")</script>'); ?>",1,1,"2"
"<a oncut=""alert(1)"" contenteditable>test</a>",1,1,"2"
"<h1>a</h1>",1,1,"2"
"<noembed><img title=""</noembed><img src onerror=alert(1)>""></noembed>",1,1,"2"
"<script>print(55)</script>",1,1,"2"
"[arr] [sev b] sr-2206130030001250 sql endpoint throwing request not authorized to perform on delta table after re-mounting the mount point for the delta table.",1,2,"2"
"[arr] [sev c] sr-2204140030001199-compute usage details gathering",1,2,"2"
"[arr] [sev c] sr-2205080030000417-slow performance",1,2,"2"
"[arr] [sev c] sr-2205310050002317  multi threading processes hung",1,2,"2"
"[arr] [sev c] sr-2206160060001401 azure cloud shell is not working to list the databricks scopes",1,2,"2"
"[arr] sr#2204120010000787 databricks communication between java/scala and python",1,1,"2"
"[arr][2205130040006196][at & t]issue when writing huge number of records",1,1,"2"
"[arr][2205190040006377 ][procter and gamble]the spark driver has stopped unexpectedly and is restarting. your notebook will be automatically reattached.",1,2,"2"
"[arr][aia][storage image download falure]",1,1,"2"
"[arr][genie][2205310030002193]",1,1,"2"
"[arr]trackingid#2204280040006568]unable to start a newly created cluster",2,2,"2"
"[arr］sr-#2206150040008281]classnotfound exceptions errors",1,1,"2"
"[genie] can not get a simple pipeline working",2,2,"2"
"[genie] databricks eror after upgrade",1,1,"2"
"[reg: 2204270060000429] spark job is stuck - genie access",1,2,"2"
"[sr#2206060030001658] sudden hike in costing for march month",2,2,"2"
"\""><img src=x onerror=javascript:alert(document.cookie)>",1,1,"2"
"_ecommerce.db missing",1,1,"2"
"abc",2,2,"2"
"access azure synapse from azure databricks with sqldw spark connector",2,2,"2"
"access in china",1,1,"2"
"access_control_list",1,1,"2"
"accessing data",1,1,"2"
"accidentally deleted a notebook",2,2,"2"
"account administration",1,2,"2"
"accreditation",2,2,"2"
"accreditation credentials",1,1,"2"
"adb job getting stuck",1,2,"2"
"add new ip to allow list",1,2,"2"
"add people",1,1,"2"
"add to dashboard gallery",1,1,"2"
"airflow connectivity problem with databricks.",1,2,"2"
"alerts",1,1,"2"
"all the job clusters are not starting and failing with init_script_failure",1,1,"2"
"alrt",1,1,"2"
"amazon pricing",1,1,"2"
"analysis user",1,1,"2"
"and operator raising unsupportedoperationexception: datatype with lag",1,2,"2"
"applychangespreviewenabled",1,1,"2"
"apt get install",1,1,"2"
"apt get update",2,2,"2"
"arr - follow-up to 00142942",1,2,"2"
"arr |  got network failure making cluster terminate |  2206210010002275",1,2,"2"
"arr | genie | how to run h2o on hc clusters - 2205310040006441",1,2,"2"
"arr |import com.sap.db.jdbc.driver fails | 2205110040001836",1,2,"2"
"arr- att- clusters with gpu won't start- 2205200040006767",1,2,"2"
"arr: multiple notebook run happening at the same time with different parameters:sr2204210060006686",1,1,"2"
"artifact location",1,1,"2"
"associate data engineer",2,2,"2"
"attributeerror: module 'lib' has no attribute 'x509_v_flag_cb_issuer_check'",1,2,"2"
"auto attach notebook",1,1,"2"
"auto scaling errors",1,2,"2"
"auto send email",1,1,"2"
"autoloader",2,2,"2"
"autoloader failing with error input marker does not start with input path",2,2,"2"
"automation testing using gcp",1,1,"2"
"azure databricks cluster",1,2,"2"
"azure databricks clusters are not getting started after creating",1,1,"2"
"azure databricks deployment getting failed",1,2,"2"
"azure databricks vnet connectivity",1,2,"2"
"azure storage account",1,1,"2"
"beta exam",1,1,"2"
"bigint identity",1,1,"2"
"bill",1,1,"2"
"bootstrap timeout",2,2,"2"
"boto3 head",1,1,"2"
"build in calendar data",1,1,"2"
"cache occupying most of the memory while running shiny app",2,2,"2"
"calculate data bricks units consumed",1,1,"2"
"can't find a capstone",2,2,"2"
"can't start cluster",1,1,"2"
"cancel sql query",1,1,"2"
"cannot connect to the database 'dwweppphnx01' on server 'sqlweppphnx01 - sql exception",1,1,"2"
"cannot install r library leafpop",1,2,"2"
"cannot install with pip",1,2,"2"
"cannot login to the community edition",2,2,"2"
"cant find",1,1,"2"
"capacity issue in region",1,1,"2"
"catalog",2,2,"2"
"certification exams, required information, recorded video",2,2,"2"
"change a name column",1,1,"2"
"change in data bricks worker type and driver type",2,2,"2"
"choose workspace in databricks",1,1,"2"
"classification",1,1,"2"
"cluster activation taking long time",1,1,"2"
"cluster configuration changed with new hardware types",1,2,"2"
"cluster created is not running",1,1,"2"
"cluster fails to start with dummy does not exist error",1,1,"2"
"cluster id",2,2,"2"
"cluster no starting in azure",1,1,"2"
"cluster running for longer time",2,2,"2"
"cluster startup takes more than 10mins",1,2,"2"
"cluster takes long time to become available to end-users",2,2,"2"
"cluster terminated. reason: network configuration failure",1,1,"2"
"cluster terminated. reason: self bootstrap failure",2,2,"2"
"cluster terminated.reason:azure vm extension failure",2,2,"2"
"cluster terminated.reason:cloud provider launch failure",1,2,"2"
"cluster terminated.reason:container launch failure",2,2,"2"
"cluster termination gcp",1,1,"2"
"cluster timeout",1,1,"2"
"cluster won't launch",2,2,"2"
"cluster won't start",2,2,"2"
"com.databricks.workflowexception: com.databricks.notebookexecutionexception: timedout",1,1,"2"
"combine 2 feilds",1,1,"2"
"commit and push",2,2,"2"
"commit button",1,1,"2"
"community workspace",1,2,"2"
"configuration parameters pipelines",1,1,"2"
"connectexception: connection refused (connection refused)",2,2,"2"
"connecting to metastore",1,1,"2"
"connection failed to databricks",1,2,"2"
"connection pool shut down",2,2,"2"
"connectiviy issues between databricks to cassandra db-",1,2,"2"
"contributor role",1,1,"2"
"conuming avro messages from kafka makes problem.",1,2,"2"
"corrupt linux vms are used",1,2,"2"
"cosmos to blob streaming job is not working properly in spark3 whereas it is working fine in spark2 codebase",1,2,"2"
"could not launch cluster due to cloud provider failures. azure_error_code: skunotavailable, azure_error_message: the requested size for resource",2,2,"2"
"coupons",2,2,"2"
"create a cluster",2,2,"2"
"create scope azure",1,2,"2"
"create table",2,2,"2"
"create, run, and manage delta live tables pipelines",2,2,"2"
"creating a cluster",1,1,"2"
"cron tab",1,1,"2"
"css-arr-s500-sr#2204200060002657 -genie access request",1,1,"2"
"css-arr-s500-sr#2204200060002657-genie access request",1,2,"2"
"css-arr-s500-sr#2204300030000321-genie access request",1,2,"2"
"css-arr-s500-sr#2205250030000489-long running job",1,2,"2"
"css-arr-s500-sr#2205310030000543-unable to connect to storage account from docker image",1,2,"2"
"css-arr-sr#2204250050001410-maximum execution context or notebook attachment limit reached",2,2,"2"
"curl",2,2,"2"
"customer is unable to write streaming data to event hub",1,1,"2"
"customer service",2,2,"2"
"dash",2,2,"2"
"dash app",1,1,"2"
"dashboard sharing",2,2,"2"
"dashboards",2,2,"2"
"data bricks notebooks failures in azure data factory",2,2,"2"
"data lake for dummies",1,1,"2"
"data loss with applyinpandas",1,2,"2"
"data profiling",1,1,"2"
"data types",2,2,"2"
"databrick can't connect to blob",1,1,"2"
"databricks - cluster upgrade with gdal",1,2,"2"
"databricks certified machine learning associate",2,2,"2"
"databricks cluster creation failure on all subscription",1,1,"2"
"databricks doesn't use external metastore.",1,2,"2"
"databricks file system (dbfs)",2,2,"2"
"databricks for python developers",1,1,"2"
"databricks job hanging",1,2,"2"
"databricks notebook is taking 2 hours to write to /dbfs/mnt (blob storage) . same job is taking 8 minutes to write to /dbfs/filestore",2,2,"2"
"databricks notebooks failed to start or run",1,1,"2"
"databricks run page url is not opening in browser",2,2,"2"
"databricks runtime hourly rate",1,2,"2"
"databricks sandbox",1,2,"2"
"databricks sandbox workspace",1,1,"2"
"databricks sql and community edition",1,1,"2"
"databricks sql error",2,2,"2"
"databricks sql ui issue",1,2,"2"
"databricks sql, some users not able to see the metastore",2,2,"2"
"databricks taking longer time to execute",1,1,"2"
"databricks timeout",1,1,"2"
"databricks unexplained errors",1,2,"2"
"databricks views are being recreated with all column names in lowercase.",1,2,"2"
"databrikcs - spark driver stops unexpectedly.",2,2,"2"
"datadog init-script",1,1,"2"
"dataframe column datatype is differenct for 2.4 & 3.0",1,2,"2"
"date",2,2,"2"
"date function",1,1,"2"
"date functions",1,1,"2"
"date_format function",2,2,"2"
"dbfs s3 bucket",1,1,"2"
"delete",2,2,"2"
"delete a user account",2,2,"2"
"delete academy account",1,1,"2"
"delete acount",2,2,"2"
"delete databricks account",2,2,"2"
"deleted repo",1,1,"2"
"delta illegalstate",1,1,"2"
"delta lake",2,2,"2"
"delta lake storage layer",1,1,"2"
"delta live",2,2,"2"
"delta live table",2,2,"2"
"delta live tables python language reference",1,1,"2"
"delta live tables quickstart",1,1,"2"
"demo notebooks",2,2,"2"
"deployment name prefix",1,1,"2"
"deprecated cluster runtime 6.4 unable to hit api's",2,2,"2"
"developers essentials learning pathway",1,1,"2"
"difference between dlt.view and dlt.create in delta live table and performance gain",1,2,"2"
"dip and spike in incoming messages at 12am utc",1,1,"2"
"disable wrapping",1,1,"2"
"disk space issue",2,2,"2"
"displayhtml() problem - databricks",1,1,"2"
"dlt",2,2,"2"
"docker",2,2,"2"
"documenting notebooks",1,1,"2"
"download csv",2,2,"2"
"dynamodb cross account",1,1,"2"
"dynamodb java client cross account",1,1,"2"
"encryption",1,1,"2"
"error",1,1,"2"
"error importing azure devops repositories to databricks workspace.",1,1,"2"
"error in writing data to synapse table(error occurred while authenticating against managed service identity)",2,2,"2"
"error while migrating database from hive to glue",1,2,"2"
"error while running databricks job",1,1,"2"
"error while running the existing prod app on 10.4 cluster while its running fine with 6.4",1,2,"2"
"errors when pip installing dependencies from a custom package",1,1,"2"
"es-271191",2,2,"2"
"es-285085",1,1,"2"
"es-293234",2,2,"2"
"event hub to databricks - 20min connectivity unexplainable throughput drop - rca assistance requested",1,2,"2"
"exam postpone",1,1,"2"
"excel",2,2,"2"
"exception thrown initializating filesystem",2,2,"2"
"export and import models",2,2,"2"
"export data",2,2,"2"
"external metastore 9.1",1,1,"2"
"extract tar.gz from dbfsç",1,1,"2"
"faced error when running 3-table join spark sql",1,1,"2"
"failed databricks notebooks",1,2,"2"
"failed to parse",1,2,"2"
"file bug",1,1,"2"
"function",1,2,"2"
"funtionality issue on sql endpoint and ml cluster",1,2,"2"
"ganglia ui not loading",1,2,"2"
"gapply collect (executor issues)",1,2,"2"
"generate token",2,2,"2"
"generated column is not pushed as partition filter in query plan",1,2,"2"
"genie - 2202210040006429",1,2,"2"
"genie - 2204080030001854",1,1,"2"
"genie - 2205170040004514",1,2,"2"
"genie - 2206240030001392",1,2,"2"
"genie 2203310010000891",1,1,"2"
"genie 2204040040003821",1,2,"2"
"genie 2204110030002332",1,2,"2"
"genie 2204120040019616",1,2,"2"
"genie 2204140030001728",1,2,"2"
"genie 2204220010001158",1,2,"2"
"genie 2204250030000999",1,1,"2"
"genie 2204250060001035",1,2,"2"
"genie 2204290040004074",1,2,"2"
"genie 2205080030000417",1,2,"2"
"genie 2205090010003177",1,2,"2"
"genie 2205180050001892",1,2,"2"
"genie 2205230040008078",1,1,"2"
"genie 2205250010001325",1,2,"2"
"genie 2206020060001829",1,1,"2"
"genie 2206050030000063",2,2,"2"
"genie 2206220030001452",1,1,"2"
