,label_0,freq_0,label_1,freq_1,label_2,freq_2,label_3,freq_3,label_4,freq_4,label_5,freq_5
10,"('Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator', 'Multiband Superconductivity in the time reversal symmetry broken superconductor Re6Zr')",10.0,"('Integrating a Global Induction Mechanism into a Sequent Calculus', 'Fitch-Style Modal Lambda Calculi')",11,"('Accelerated Consensus via Min-Sum Splitting', 'Theory and Applications of Matrix-Weighted Consensus')",9.0,"('Decomposing the Quantile Ratio Index with applications to Australian income and wealth data', 'Does agricultural subsidies foster Italian southern farms? A Spatial Quantile Regression Approach', 'Statistical Implications of the Revenue Transfer Methodology in the Affordable Care Act')",10.0,"('Gene regulatory network inference: an introductory survey', 'Fuzzy logic based approaches for gene regulatory network inference')",9.0,"('An Expanded Local Variance Gamma model', 'Affine forward variance models', 'Calibration for Weak Variance-Alpha-Gamma Processes', 'Affine processes under parameter uncertainty')",8.0
11,"('Transient flows in active porous media', 'On the apparent permeability of porous media in rarefied gas flows')",9.0,"('Identitas: A Better Way To Be Meaningless', 'Stop talking to me -- a communication-avoiding ADER-DG realisation', 'Persuasive Technology For Human Development: Review and Case Study')",10,"('Geometrically stopped Markovian random growth processes and Pareto tails', 'Approximation of solutions of SDEs driven by a fractional Brownian motion, under pathwise uniqueness', 'Some Time-changed fractional Poisson processes')",9.0,"('Ranking with Adaptive Neighbors', 'Approximate Ranking from Pairwise Comparisons')",9.0,"('Who is the infector? Epidemic models with symptomatic and asymptomatic cases', 'On the scaling patterns of infectious disease incidence in cities', 'The Impact of Information Dissemination on Vaccinating Epidemics in Multiplex Networks', 'Vulnerability to pandemics in a rapidly urbanizing society', 'Epidemiological impact of waning immunization on a vaccinated population', 'Early warning signals in plant disease outbreaks')",9.0,"('Optimal portfolio selection in an Itô-Markov additive market', 'A Stochastic Control Approach to Managed Futures Portfolios')",8.0
12,"('Analysis and mitigation of interface losses in trenched superconducting coplanar waveguide resonators', 'Non-degenerate parametric resonance in tunable superconducting cavity')",9.0,"('Scaling up the software development process, a case study highlighting the complexities of large team software development', 'Characterizing The Influence of Continuous Integration. Empirical Results from 250+ Open Source and Proprietary Projects')",10,"('Incompressible limit of the Navier-Stokes model with a growth term', 'On well-posedness of a velocity-vorticity formulation of the Navier-Stokes equations with no-slip boundary conditions', 'Existence and uniqueness of steady weak solutions to the Navier-Stokes equations in $\\mathbb{R}^2$', 'Selection of quasi-stationary states in the Navier-Stokes equation on the torus', 'Navier-Stokes flow past a rigid body: attainability of steady solutions as limits of unsteady weak solutions, starting and landing cases')",8.0,"('Optimal Stopping for Interval Estimation in Bernoulli Trials', 'Optimal Learning for Sequential Decision Making for Expensive Cost Functions with Stochastic Binary Feedbacks')",9.0,"('Frictional Effects on RNA Folding: Speed Limit and Kramers Turnover', 'Spontaneous domain formation in disordered copolymers as a mechanism for chromosome structuring')",8.0,"('Investor Reaction to Financial Disclosures Across Topics: An Application of Latent Dirichlet Allocation', 'Using Stock Prices as Ground Truth in Sentiment Analysis to Generate Profitable Trading Signals', 'Stock Market Visualization', 'Ranking Causal Influence of Financial Markets via Directed Information Graphs', 'Reframing the S\\&P500 Network of Stocks along the \\nth{21} Century', ""Exploiting Investors Social Network for Stock Prediction in China's Market"", 'Quantifying macroeconomic expectations in stock markets using Google Trends')",8.0
13,"('Near-UV OH Prompt Emission in the Innermost Coma of 103P/Hartley 2', 'Comment on ""Laser cooling of $^{173}$Yb for isotope separation and precision hyperfine spectroscopy""')",9.0,"('Knowledge Management Strategies and Processes in Agile Software Development: A Systematic Literature Review', 'Scaling up the software development process, a case study highlighting the complexities of large team software development', 'Characterizing The Influence of Continuous Integration. Empirical Results from 250+ Open Source and Proprietary Projects')",10,"('On a Neumann-type series for modified Bessel functions of the first kind', 'Generalized Log-sine integrals and Bell polynomials')",8.0,"('Robust and Efficient Boosting Method using the Conditional Risk', 'Finding Influential Training Samples for Gradient Boosted Decision Trees')",9.0,"('Zinc oxide induces the stringent response and major reorientations in the central metabolism of Bacillus subtilis', 'The PomXYZ Proteins Self-Organize on the Bacterial Nucleoid to Stimulate Cell Division')",8.0,"('Pricing of debt and equity in a financial network with comonotonic endowments', 'A Dynamic Model of Central Counterparty Risk')",7.0
14,"('Quantum oscillations and a non-trivial Berry phase in the noncentrosymmetric superconductor BiPd', 'Fulde-Ferrell-Larkin-Ovchinnikov state in spin-orbit-coupled superconductors', 'Emergent high-spin state above 7 GPa in superconducting FeSe')",9.0,"('Japanese Sentiment Classification using a Tree-Structured Long Short-Term Memory with Attention', 'Neural Machine Translation')",9,"('Bistable reaction equations with doubly nonlinear diffusion', 'Entire Solution in an Ignition Nonlocal Dispersal Equation: Asymmetric Kernel')",8.0,"('Sparse Inverse Covariance Estimation for Chordal Structures', 'An Improved Modified Cholesky Decomposition Method for Inverse Covariance Matrix Estimation')",9.0,"('Pinned, locked, pushed, and pulled traveling waves in structured environments', 'On the origin of super-diffusive behavior in a class of non-equilibrium systems')",8.0,"('Generalizing Geometric Brownian Motion', 'Transition probability of Brownian motion in the octant and its application to default modeling', 'The sum of log-normal variates in geometric Brownian motion')",7.0
15,"('The Linear Point: A cleaner cosmological standard ruler', 'Clarifying the Hubble constant tension with a Bayesian hierarchical model of the local distance ladder')",9.0,"('An attentive neural architecture for joint segmentation and parsing and its application to real estate ads', 'Structured Neural Summarization')",9,"('Almost complex structures on connected sums of complex projective spaces', 'Essentially Finite Vector Bundles on Normal Pseudo-proper Algebraic Stacks')",8.0,"('Robust Dual View Deep Agent', 'Auto Deep Compression by Reinforcement Learning Based Actor-Critic Structure')",9.0,"('Human peripheral blur is optimal for object recognition', 'Early Salient Region Selection Does Not Drive Rapid Visual Categorization', 'Towards Modeling the Interaction of Spatial-Associative Neural Network Representations for Multisensory Perception')",8.0,"('On approximations of Value at Risk and Expected Shortfall involving kurtosis', 'Gaussian Approximation of a Risk Model with Stationary Hawkes Arrivals of Claims')",7.0
16,"('Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy', 'Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface', 'Anisotropy and multiband superconductivity in Sr2RuO4', 'High-$T_\\textrm {C}$ superconductivity in Cs$_3$C$_{60}$ compounds governed by local Cs-C$_{60}$ Coulomb interactions', 'Superconductivity at 7.3 K in the 133-type Cr-based RbCr3As3 single crystals')",9.0,"('Gaussian Kernel in Quantum Paradigm', 'New quantum mds constacylıc codes')",9,"('Geometrically stopped Markovian random growth processes and Pareto tails', 'Some Time-changed fractional Poisson processes')",8.0,"('Long-Term Load Forecasting Considering Volatility Using Multiplicative Error Model', 'Future Energy Consumption Prediction Based on Grey Forecast Model', 'Nonparametric Testing for Differences in Electricity Prices: The Case of the Fukushima Nuclear Accident')",8.0,"('The exit time finite state projection scheme: bounding exit distributions and occupation measures of continuous-time Markov chains', 'Autoregressive Point-Processes as Latent State-Space Models: a Moment-Closure Approach to Fluctuations and Autocorrelations')",8.0,"('Using Stock Prices as Ground Truth in Sentiment Analysis to Generate Profitable Trading Signals', ""Exploiting Investors Social Network for Stock Prediction in China's Market"", 'Quantifying macroeconomic expectations in stock markets using Google Trends')",7.0
17,"('Stationary crack propagation in a two-dimensional visco-elastic network model', 'Multiscale Modeling of Shock Wave Localization in Porous Energetic Material')",8.0,"('On the Privacy of the Opal Data Release: A Response', 'Composing Differential Privacy and Secure Computation: A case study on scaling private record linkage')",9,"('Almost euclidean Isoperimetric Inequalities in spaces satisfying local Ricci curvature lower bounds', 'Bounds on harmonic radius and limits of manifolds with bounded Bakry-Émery Ricci curvature')",7.0,"('Are Thousands of Samples Really Needed to Generate Robust Gene-List for Prediction of Cancer Outcome?', 'Robust Identification of Target Genes and Outliers in Triple-negative Breast Cancer Data', 'A Geometric Perspective on the Power of Principal Component Association Tests in Multiple Phenotype Studies')",8.0,"('Non-equilibrium statistical mechanics of continuous attractors', 'On the Three Properties of Stationary Populations and knotting with Non-Stationary Populations')",7.0,"('Risk-neutral valuation under differential funding costs, defaults and collateralization', 'A closed formula for illiquid corporate bonds and an application to the European market')",7.0
18,"('Characterizing Exoplanet Habitability', 'Searching for the Transit of the Earth--mass exoplanet Proxima~Centauri~b in Antarctica: Preliminary Result', 'Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra', 'Centroid vetting of transiting planet candidates from the Next Generation Transit Survey', 'Likely Transiting Exocomets Detected by Kepler')",8.0,"('An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers', 'Mathematics of Isogeny Based Cryptography', 'Faster integer and polynomial multiplication using cyclotomic coefficient rings')",9,"('Leavitt path algebras: Graded direct-finiteness and graded $Σ$-injective simple modules', '$Σ$-pure-injective modules for string algebras and linear relations')",7.0,"('Adversarial Examples: Opportunities and Challenges', 'Gradient Masking Causes CLEVER to Overestimate Adversarial Perturbation Size', 'On the Robustness of the CVPR 2018 White-Box Adversarial Example Defenses', 'Ensemble Methods as a Defense to Adversarial Perturbations Against Deep Neural Networks', 'Adversarial classification: An adversarial risk analysis approach', 'Handling Adversarial Concept Drift in Streaming Data', 'Detecting Adversarial Examples via Key-based Network')",8.0,"('Characterizing complex networks using Entropy-degree diagrams: unveiling changes in functional brain connectivity induced by Ayahuasca', 'Reconfiguration of Brain Network between Resting-state and Oddball Paradigm', 'The Frequent Network Neighborhood Mapping of the Human Hippocampus Shows Much More Frequent Neighbor Sets in Males Than in Females', 'Finding influential nodes for integration in brain networks using optimal percolation theory', 'Topological Brain Network Distances', 'Controlling seizure propagation in large-scale brain networks', 'Combined MEG and fMRI Exponential Random Graph Modeling for inferring functional Brain Connectivity', 'Brain networks reveal the effects of antipsychotic drugs on schizophrenia patients and controls')",7.0,"(""Geert Hofstede et al's set of national cultural dimensions - popularity and criticisms"", 'Advertising and Brand Attitudes: Evidence from 575 Brands over Five Years')",7.0
19,"('Unified Treatment of Spin Torques using a Coupled Magnetisation Dynamics and Three-Dimensional Spin Current Solver', 'Magnetization dynamics of weakly interacting sub-100 nm square artificial spin ices')",8.0,"('Heuristic Optimization for Automated Distribution System Planning in Network Integration Studies', 'Probabilistic Assessment of PV-Battery System Impacts on LV Distribution Networks')",9,"('Symmetries and multipeakon solutions for the modified two-component Camassa-Holm system', 'A Result of Uniqueness of Solutions of the Shigesada-Kawasaki-Teramoto Equations')",7.0,"('Discontinuous Hamiltonian Monte Carlo for discrete parameters and discontinuous likelihoods', 'Weighted batch means estimators in Markov chain Monte Carlo', 'Stability of Conditional Sequential Monte Carlo')",8.0,"('The Moon Illusion explained by the Projective Consciousness Model', 'Psychophysical laws as reflection of mental space properties')",7.0,"('PROOF OF VALUE ALIENATION (PoVA) - a concept of a cryptocurrency issuance protocol', 'Economic Implications of Blockchain Platforms')",6.0
20,"('Topologically Invariant Double Dirac States in Bismuth based Perovskites: Consequence of Ambivalent Charge States and Covalent Bonding', 'Phonon-Induced Topological Transition to a Type-II Weyl Semimetal')",8.0,"('The Query Complexity of Cake Cutting', 'LevelHeaded: Making Worst-Case Optimal Joins Work in the Common Case')",9,"('Small subgraphs and their extensions in a random distance graph', 'A gradient estimate for nonlocal minimal graphs')",7.0,"('Class-Splitting Generative Adversarial Networks', 'VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning', 'Evolutionary Generative Adversarial Networks', 'Fictitious GAN: Training GANs with Historical Models')",8.0,"('Protein Pattern Formation', 'Optimal segregation of proteins: phase transitions and symmetry breaking')",7.0,"('Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements')",6.0
21,"('Axiomatic quantum mechanics: Necessity and benefits for the physics studies', ""Bohm's approach to quantum mechanics: Alternative theory or practical picture?"")",7.0,"('Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation', 'Smart Grids Data Analysis: A Systematic Mapping Study', 'Dynamic Security Analysis of Power Systems by a Sampling-Based Algorithm', 'Anomaly Detection Using Optimally-Placed Micro-PMU Sensors in Distribution Grids', 'Heuristic Optimization for Automated Distribution System Planning in Network Integration Studies', 'Probabilistic Assessment of PV-Battery System Impacts on LV Distribution Networks')",8,"('A Projection-Based Reformulation and Decomposition Algorithm for Global Optimization of a Class of Mixed Integer Bilevel Linear Programs', 'The many faces of degeneracy in conic optimization')",7.0,"('An Unsupervised Learning Classifier with Competitive Error Performance', 'How Complex is your classification problem? A survey on measuring classification complexity')",7.0,"('Doing good vs. avoiding bad in prosocial choice: A refined test and extension of the morality preference hypothesis', 'A multiple attribute model resolves a conflict between additive and multiplicative models of incentive salience')",7.0,"('Dealing with the Dimensionality Curse in Dynamic Pricing Competition: Using Frequent Repricing to Compensate Imperfect Market Anticipations', 'Statistical estimation of superhedging prices')",6.0
22,"('Searching for the Transit of the Earth--mass exoplanet Proxima~Centauri~b in Antarctica: Preliminary Result', 'Forecasting the Impact of Stellar Activity on Transiting Exoplanet Spectra', 'Centroid vetting of transiting planet candidates from the Next Generation Transit Survey', 'Likely Transiting Exocomets Detected by Kepler')",7.0,"('ClusterNet: Detecting Small Objects in Large Scenes by Exploiting Spatio-Temporal Information', 'Pixelwise Instance Segmentation with a Dynamically Instantiated Network')",8,"('A homotopy decomposition of the fibre of the squaring map on $Ω^3S^{17}$', 'Discretization of Springer fibers')",7.0,"('Analysis of Multivariate Data and Repeated Measures Designs with the R Package MANOVA.RM', 'Second-generation p-values: improved rigor, reproducibility, & transparency in statistical analyses')",7.0,"('Gene regulatory network inference: an introductory survey', 'Network analyses of 4D genome datasets automate detection of community-scale gene structure and plasticity', 'Fuzzy logic based approaches for gene regulatory network inference')",7.0,"('Integrating electricity markets: Impacts of increasing trade on prices and emissions in the western United States', 'Extended opportunity cost model to find near equilibrium electricity prices under non-convexities')",6.0
23,"('Asymmetric Mach-Zehnder atom interferometers', 'Improving the phase response of an atom interferometer by means of temporal pulse shaping')",7.0,"('An Extended Low Fat Allocator API and Applications', 'The microarchitecture of a multi-threaded RISC-V compliant processing core family for IoT end-nodes')",8,"('Incompressible limit of the Navier-Stokes model with a growth term', 'Existence and uniqueness of steady weak solutions to the Navier-Stokes equations in $\\mathbb{R}^2$')",7.0,"('The Risk of Machine Learning', 'Analyzing Hypersensitive AI: Instability in Corporate-Scale Machine Learning')",7.0,"('A Biologically Plausible Supervised Learning Method for Spiking Neural Networks Using the Symmetric STDP Rule', 'Pre-Synaptic Pool Modification (PSPM): A Supervised Learning Procedure for Spiking Neural Networks')",7.0,"(""Are Bitcoin Bubbles Predictable? Combining a Generalized Metcalfe's Law and the LPPLS Model"", 'Exploring the Interconnectedness of Cryptocurrencies using Correlation Networks', 'Multi-channel discourse as an indicator for Bitcoin price and volume movements', 'Multivariate stable distributions and their applications for modelling cryptocurrency-returns', 'The Price of BitCoin: GARCH Evidence from High Frequency Data')",6.0
24,"('Case Studies on Plasma Wakefield Accelerator Design', 'Efficiency versus instability in plasma accelerators')",7.0,"('Automated flow for compressing convolution neural networks for efficient edge-computation with FPGA', 'Compiling Deep Learning Models for Custom Hardware Accelerators')",8,"('Genus growth in $\\mathbb{Z}_p$-towers of function fields', 'Existence results for primitive elements in cubic and quartic extensions of a finite field')",7.0,"('On constraining projections of future climate using observations and simulations from multiple climate models', 'Analysis of Annual Cyclone Frequencies over Bay of Bengal: Effect of 2004 Indian Ocean Tsunami', 'Trends in European flood risk over the past 150 years')",7.0,"('Kinetics of Protein-DNA Interactions: First-Passage Analysis', 'Eigensolutions and spectral analysis of a model for vertical gene transfer of plasmids', 'Kinky DNA in solution: Small angle scattering study of a nucleosome positioning sequence', 'Strong deformations of DNA: Effect on the persistence length', 'The self-referring DNA and protein: a remark on physical and geometrical aspects', 'End-to-end distance and contour length distribution functions of DNA helices', 'Kinetic Trans-assembly of DNA Nanostructures', 'Frictional Effects on RNA Folding: Speed Limit and Kramers Turnover', 'Single-molecule imaging of DNA gyrase activity in living Escherichia coli', 'Determinants of cyclization-decyclization kinetics of short DNA with sticky ends', 'Unveiled electric profiles within hydrogen bonds suggest DNA base pairs with similar bond strengths', 'Short DNA persistence length in a mesoscopic helical model', 'DNA Base Pair Mismatches Induce Structural Changes and Alter the Free Energy Landscape of Base Flip', 'Spontaneous domain formation in disordered copolymers as a mechanism for chromosome structuring', 'Parallel G-duplex and C-duplex DNA with Uninterrupted Spines of AgI-Mediated Base Pairs')",7.0,"('A Game of Martingales', 'From Azéma supermartingales of finite honest times to optional semimartingales of class-($Σ$)')",6.0
